[0] 关于宝箱
[1] 开启宝箱可获得的道具
[2] 同步刷副本与收集宝箱时的思路
[3] 宝箱的获取途径
[4] 转为面板放置
[5] 兑换成资金
[6] 转化为放置基底
[7] 使用/留存/重新抽取
[8] 各类设置、提速功能说明
[9] 角色语音播放功能说明
[10] 自动配置设置示例
[11] 爱心面板消除倍率
[12] 面板旋转操作说明
[13] 消除奖励机制
[14] 底部行数超时强制消除规则
[15] 道具总览
[16] 与传统俄罗斯方块的差异点
[17] 保留最右侧一行空位
[18] 尽早预留空余放置基底
[19] 优先消除带有爱心面板的行
[20] 优先消除带有道具面板的行
[21] 无爱心、道具面板的行，即便被强制消除也无伤大雅
[22] 基底数量管理/哪些道具适合转化为基底
[23] 空白面板的处理方式
[24] 不必执着保留边缘行空位
[25] 留存消击球等待时机
[26] 同种道具，有时转化基底、有时不转化
[27] 格子空位开辟技巧
[28] 经验药水与森之石松说明
[29] 活动任务相关说明
[30] 评论留言板
[31] 要点汇总 †
[32] 在开宝箱界面开启已获取的宝箱，可得到道具与面板；集齐一整行面板并消除（俗称俄罗斯方块玩法），就能获取角色养成所需的强化点数。该玩法几乎能产出游戏内全部资源，包含蝶矿石。因此本游戏核心刷资源手段就是收集并开启宝箱。
[33] 若没有充足时间手动操作，可以活用自动放置功能。
[34] 点击主界面的宝箱按钮
[35] 开启宝箱可获得的道具 †
[36] 完成开宝箱相关任务，可获取蝶矿石、爱欲之魂。→任务一览
[37] 角色升级、突破上限所需的经验值、攻击力等各类养成点数。
[38] 连续多行消除会触发额外奖励，建议主动多尝试。
[39] 抽取稀有装备奖池所需的点数；消除心动硬币面板可直接获得5点抽卡点数。
[40] 一次性消除3列、4列时，有概率在已开辟的空余基底格子中随机生成心动硬币面板。
[41] 使用逆袭破坏彗星转化场上已放置的空白面板，也能生成该面板。
[42] 角色养成的核心资源之一，主要通过开宝箱与D2P抽卡获取。但并非所有装备都能从宝箱产出，存在仅D2P抽卡限定的装备。
[43] 蝶矿石
[44] 元气原液/高浓度原液/超纯原液（体力恢复道具）
[45] 爱欲之魂（提升好感度，解锁角色剧情与特殊场景）
[46] 绽放花蕾（角色突破上限、角色交换所需材料）
[47] 经验药水、森之石松（提升玩家等级经验道具）
[48] 觉醒小木（获取觉醒点数道具）
[49] 必杀觉醒木（强化必杀技觉醒等级）
[50] 固有觉醒木（强化角色固有效果觉醒等级）
[51] 神魂虫（召唤特殊指挥官道具）
[52] 四转神猴(★)
[53] 重置挂饰(★)
[54] 连锁口香糖(★)
[55] 强健掉落道具(★)
[56] 省时券(★)
[57] 资金（用于面板旋转、角色突破、扩充装备仓库）※不会产出绘马类道具是其特征。※带(★)标记的道具可在兑换商店出售换取代币。容易大量囤积的连锁口香糖不建议换成资金。
[58] 同步刷副本收集宝箱的方案 †
[59] 第二部EXTRA关卡：24-12、25-12、26-12、39-7
[60] 第三部EXTRA关卡：10-6、11-12、13-12
[61] 截至2025年8月，在所有可掉落宝箱的关卡中，这里的宝箱产出量几乎最高。使用强健掉落道具后单次最多可获取16个宝箱。
[62] 宝箱的获取途径 †
[63] 每日任务出战不会消耗体力，敌人强度也不高。每日出战次数存在上限，但使用重置挂饰就能重置次数重复刷取，多轮刷取可稳定积攒大量宝箱。单次出战大约能拿到8±4个宝箱。
[64] 使用强健掉落道具通关副本，宝箱掉落数量会提升。尤其是第一部普通12-10关卡（消耗体力25），使用该道具后无论玩家等级多少，稳定获取18个宝箱；持有该道具时刷这一关效率最优。
[65] 2022年11月二周年、2024年5月3.5周年活动期间，全副本宝箱掉落量UP活动大幅提升了道具使用收益。该活动周期约半年一次，开启时间尚不固定；临近活动期可留存强健掉落道具观望。
[66] 将角色等级强化至100级
[67] 至少突破至3星，解锁第二个装备槽位
[68] 设置为优先出战角色
[69] 同时装备超级钻头与珍品钻头，达成双钻头加成状态
[70] 支援角色优先选用神骑阿尔戈尔、节拍护身符·诺诺诺
[71] 选用3星及以上、同时装备超级钻头与珍品钻头、处于双钻头状态的司；搭配自身持有的司，达成双司出战阵容。
[72] 每日免费助战次数拉满，能更快完成宝箱获取任务条件。
[73] 部分活动会将宝箱设为通关奖励。
[74] 有兑换上限的活动商店，可用极低比例兑换数十至百余个宝箱。
[75] 无兑换上限的常驻宝箱兑换比例偏高，优先兑换绽放花蕾等其他奖励更划算。
[76] 前提是释放司的必杀技。
[77] 消耗11体力可掉落0~5个宝箱，搭配司必杀提升产出；该关卡体力消耗低、宝箱掉落量相对可观。但初始出战人数仅2、敌人数量偏少，若没有装备、队友技能充能辅助，可能来不及攒满必杀释放。消耗11体力、敌人数最多的普通3-3也可作为备选。
[78] 大致每消耗10点体力能获取3个宝箱。
[79] 若玩家等级远高于副本难度，道具掉落率会下降，宝箱获取数量减少。相比高体力消耗的高难副本，低体力副本每点体力对应的宝箱产出效率更高。推荐消耗11体力的关卡：2-8(12只敌人)、3-1(16只敌人)、3-2(17只敌人)、3-3(18只敌人)。
[80] 若相比体力效率，更看重刷取时间速度，仅单BOSS的副本也是备选路线。全程无杂兵战，需要配置能快速秒杀BOSS的特化队伍，对角色练度有一定要求。当前第二部17-5往后的关卡，满级玩家也不会受到等级差掉落衰减惩罚；第二部18-8消耗30体力，固定掉落6个宝箱，是优质刷取点位。
[81] 每达成一项条件可一次性领取10个宝箱。
[82] 达成条件可在主界面下方「开宝箱·道具一览」，点击「达成详情」按钮查看。提升VIP等级会放宽任务要求。想进一步提升效率，建议每日把免费助战次数用完。
[83] 参与讨伐战，可在参与奖励中领取大量宝箱。
[84] 哪怕输出分数为0，仅参与次数达标就能拿到足额奖励；讨伐战开启时务必积极参与。
[85] 参与歼灭战可获取宝箱。
[86] 参与全域战，积攒黄色活动代币。
[87] 黄色代币可在兑换商店兑换有数量上限的宝箱。
[88] 兑换上限会随全域战活动刷新重置。
[89] 也有无兑换上限的常驻宝箱，但兑换性价比极低，除非急需宝箱，否则不推荐兑换。
[90] 使用体力糖果刷取时，第一部普通12-10的单位体力宝箱产出更高。
[91] 本质属于副本刷取的衍生方式。半年一次的超昂庆典、1~2个月一次的体力消耗减半等活动会轮番开启，活动期间集中消耗体力原液刷宝箱收益最高。不同活动下困难、EXTRA关卡的宝箱期望产出可能高于普通关卡，需实时关注当期情报。
[92] 即便是使用强健掉落道具，普通以上难度关卡的单位体力效率更高。（体力减半活动下困难12-10消耗15体力，EXTRA12-10消耗19体力。）部分活动还会提升蜂蜜掉落、玩家经验获取加成，不必固定死刷普通12-10，灵活调整。
[93] 无需操作，每3小时自动领取3个免费宝箱；免费宝箱存储上限为3次×3个，合计6个。从D2P抽卡产出的三套记忆可额外增加3个存储上限；充值VIP7再追加3个。无氪玩家最大存储9个，付费玩家上限12个。
[94] 消耗150DMM点数购买每日宝箱礼包，内含20个宝箱+5个付费蝶矿石。每日限购一次，24点重置购买次数。
[95] 开宝箱相关机制 †
[96] 进入开宝箱界面会自动开启1个宝箱，必须对开出的物品执行对应操作才能开启下一个宝箱。资金、省时券等部分道具开出后会自动存入仓库。
[97] ※2022年3月9日更新调整机制：宝箱内道具的抽取判定从获取宝箱时改为开启宝箱时。更新前，旧宝箱只会产出获取时版本的道具；更新后，哪怕是往期留存的宝箱，开启时也会按当前版本奖池产出道具。
[98] 转为面板放置 †
[99] 将右侧产出的面板拖拽至左侧已开辟的基底格子内摆放。面板不受重力限制，可在基底内任意位置放置（包括悬空摆放）。玩家核心操作是摆放面板凑整行消除，详见下文「面板消除机制」。每累计消除20行面板，可在任务中领取1个蝶矿石。
[100] 兑换成资金 †
[101] 直接兑换为游戏资金。任务规则为累计兑换道具资金达到5000即可领取1个蝶矿石。因此像耐性宝冠、纯金熊这类道具，不建议摆放面板，直接兑换资金收益更高。消击球单件兑换资金价格也较高，若凑不出多行列消除、或是自动开宝箱随便消耗，不如直接变现。
[102] 转化为放置基底 †
[103] 未开辟基底格子的区域无法摆放面板；使用基底类道具可新增可摆放格子。不同道具能开辟的基底格子数量不同。
[104] 使用/留存/重新抽取 †
[105] 开出特定道具时会解锁该三项操作选项。
[106] 可留存的消耗道具会存入仓库，代表道具：连锁口香糖、重置挂饰等。
[107] 装备类道具会存入装备仓库，可在角色养成界面穿戴、强化；后续也能在仓库内强化或出售。→装备一览
[108] 无法留存的道具会当场直接使用，代表道具：消击球、经验药水等。
[109] 通关主线普通区域10后解锁重新抽取功能。
[110] 游戏设有出售装备获取矿石的任务，无用装备无需重抽，直接出售即可。
[111] 重新抽取消耗宝箱数量为10+连续重抽次数，每多抽一次消耗递增（10、11、12……）。
[112] 开出道具后若取消操作、返回主界面，也可直接点击道具图标发起重抽。
[113] 单次重抽不会出现同款道具，但连续多次重抽有可能再次刷出同类道具（例：眩晕帽→重型硬汉→眩晕帽循环）。
[114] 各类设置、提速功能说明 †
[115] 点击主界面右上角齿轮设置按钮，或开宝箱界面右下角设置入口，调整各项参数可大幅节省操作时间。2022年1月19日更新上线的「加速开宝箱动画」功能对提升刷取效率帮助极大，务必开启。（更新前该操作属于BUG类技巧）除此之外，还能简化开宝箱动画、关闭道具留存/使用确认弹窗、自定义快捷按钮功能，按需调整。
[116] 宝箱设置界面
[117] 角色语音播放功能说明 †
[118] 2022年1月26日更新实装。开启路径：主界面右上角齿轮设置→开宝箱界面右下角「前往设置」→「宝箱面板配置①」分页，将「开宝箱时播放角色语音」设为开启。超时强制消除、多行列消除、道具留存/出售、开辟基底等各类操作都会触发角色语音。默认语音角色为优诺；若在皮肤商店购入其他角色皮肤，可在图鉴页面「系统语音」切换对应角色语音。
[119] 自动放置功能说明 †
[120] 全自动处理开宝箱内置方块小游戏（俗称俄罗斯方块），批量清理大量宝箱时十分便捷。
[121] 必须提前在设置界面配置各项道具处理规则，否则无法启用自动按钮。（防止稀有装备被自动出售等意外损失）
[122] 自动配置设置示例 †
[123] 自动配置界面示例
[124] 以下仅为参考模板，前期养成点数不足时可将「兑换资金」类规则改为「自动放置」灵活调整。但推荐固定两项设置：第一类资金类道具统一设为「兑换资金」；第二类彗星破坏类道具统一设为「直接使用」。
[125] 分类项目
[126] 处理规则
[127] 其他道具分类1
[128] 全部摆放至最右侧
[129] 其他道具分类2
[130] 恶魔面板自动摆放，其余直接使用
[131] 体力类道具
[132] 优先放最上方开辟基底，最下方兑换资金，其余自动摆放
[133] 攻击力类道具
[134] 优先放最上方开辟基底，最下方兑换资金，其余自动摆放
[135] 魔法力类道具
[136] 优先放最上方开辟基底，最下方兑换资金，其余自动摆放
[137] 防御/魔抗类道具
[138] 全部自动摆放
[139] 经验值类道具
[140] 从上至下依次自动摆放、开辟基底、兑换资金
[141] 装备类道具
[142] 需要的装备留存仓库，其余兑换资金
[143] 自动开宝箱设置不当会造成大量损失：自动超时消除会丢失蝶矿石、花蕾、重置挂饰、D2P点数。为尽量规避损失，1格大小的面板统一设为自动摆放；消击球设为直接使用。强化点数类道具优先把高兑换价值的变现，最大化完成累计兑换5000资金领蝶矿石的任务。
[144] 使用该套自动配置长期开宝箱，防御、魔抗类强化点数面板会持续堆积。可按需调整规则：缺口大的属性设为自动摆放，防御改为开辟基底，魔抗改为兑换资金。
[145] 功能上线更新记录
[146] 在设置界面「宝箱面板配置②」分页调整各类道具自动处理逻辑。
[147] 2022年12月7日更新上线自动功能
[148] 彗星破坏类道具设为自动使用时，若无可用空白面板可转化，会自动执行摆放或开辟基底操作。
[149] 基底类道具无法开辟格子时，优先自动摆放，而非直接兑换资金。
[150] 2024年4月24日更新，自动开宝箱设置支持按装备种类单独配置处理规则。
[151] 2024年7月10日更新，自动摆放时若原生形状无法放入格子，会自动旋转适配摆放（资金不足时不会旋转）。
[152] 2022年12月6日前的快捷功能说明
[153] 2022年8月31日更新上线。给开宝箱快捷按钮绑定「自动摆放」，出现对应面板时点击快捷按钮，会自动摆放到基底内可放置位置中最靠左下的空位（优先低位置）。
[154] 目前消击球无法绑定快捷设置，必须手动操作；空白面板耗尽时彗星破坏道具无法使用，也需要手动选择兑换资金或开辟基底。会大幅放弃多行列消除收益，时间充裕时手动开宝箱收益更高；但优势是可以留存装备、消耗道具，快速清掉堆积的大量宝箱。全部强化点数面板+空白恶魔统一自动摆放，超时强制消除的概率会降低，基本不会浪费消除行数任务奖励。
[155] 2022年12月7日自动功能上线后，快捷按钮被替换为自动按钮，该旧功能作废。
[156] 方块小游戏基础流程 †
[157] 使用基底道具开辟可摆放方块的基底区域，在基底内摆放面板。在底部倒计时耗尽前尽量铺满多行面板，能手动消除就主动消除，以此获取强化点数等奖励。
[158] ※以上内容摘自官方帮助文档
[159] 面板消除机制 †
[160] 一整行全部摆满面板即可消除该行，消除后获得角色升级、突破所需的强化点数与各类道具。
[161] 摆放面板前必须先用基底道具开辟空余格子。
[162] 经验值获取量=该行爱心格子数量×面板消除基础数值。
[163] 无论手动还是自动操作，若倒计时耗尽来不及消除，面板会强制清除，无法获得该行任何道具，直接亏损。
[164] 使用消击球消除整行时，该行强化点数收益翻倍；道具本身的获取数量不会翻倍。
[165] 爱心面板消除倍率 †
