[1] やったぁ、強くなってる！
[2] 良い、感じね？
[3] ああっ！？そこ……弱いとこぉ。
[4] フラックスプロ―ジョン・ビートチェンジ！
[5] どうやら私の出番のようね。
[6] 了解！力を貸すわ！
[7] お姉さま！私の活躍見ていてくれた？
[8] 全っ然、話にならないわ。
[9] えい！
[10] やぁ！
[11] -(常時発動型のため無し)
[12] 引き裂いてあげるわ。『ディーペスト・スカー』！
[13] これしきぃ…
[14] うぁあ！？
[15] ここが……気持ちいいんだなぁ？
[16] んはぁ！はぁ……今のは、良かったよ？
[17] んぃい！そ、そこぉ！はっふうううん！？
[18] ヘイ、カモーン！
[19] OK、任せな！
[20] お前達には黙秘権が……ある、のか？まあいいか！
[21] 逃がすか！
[22] 喰らいなァ！
[23] チャージマァックス！Ｒｅａｄｙ？！『ライトニングゥゥ・ブレェーーーーーイク！』
[24] ガッデェム…！
[25] 青い地球を守るため、胸の鼓動が天を衝く！エスカレイヤー、悪の現場に只今参上ぉ！！
[26] お疲れ様です、長官さん。あなたなら、必ず勝利に導くと信じてます。
[27] あっ！今そんなとこに触っちゃダメです！
[28] あぁ、もう…これ以上はチャージの時にしてください…ね？
[29] あぁん…長官さんの手…優しくて力強くて…私は好きですよ。
[30] このコスチューム、私の意見を参考にパパがデザインしたんですよ。
[31] 長官さぁん～もぉ～どこ行っちゃったんですかぁ～
[32] あぁん…もうこれ以上Dチャージは…誰もいない時にしてください。
[33] 出動ですか？長官さん！あっ…おしゃべりですか？はい、喜んで！
[34] あっ…長官さん、シュークリームはいかがですか？つい買いすぎちゃって…
[35] 不安は無いかですか？…はい！私は長官さんを信じています！
[36] ふぁぁんん…なんだか眠くなってきちゃいます。
[37] シュークリームはカスタード系も生クリーム系も好きですね。
[38] ああん！あっ、あっ！？ああぁあぁん！！？
[39] ありがとうございます！
[40] あんっ！？少し、強い…んん！！
[41] んん…あっ…近寄らないでください！あっ…っ！いやぁぁぁぁああ！！
[42] 任せてください！
[43] 全力で戦います！
[44] はあっ！
[45] えぇい！
[46] これはどうですか？
[47] 切り刻みます！ビートエンド・エスカレーション！
[48] うぁ！
[49] あぁう！？
[50] えぇ！？本当にいいんですか？
[51] こんな素敵な物！…ありがとうございます！！
[52] 蒼き地球を守るため、胸の鼓動が天を衝く。エスカリバース、悪の現場にただいま参上、だ
[53] 戦う準備はいつでも出来ているぜ。
[54] おお？出撃か？
[55] まさかまた正義の為に戦うことになるとはな…皮肉なもんだ。
[56] 触んじゃねぇ！パルシオンで貫かれてぇか！
[57] その…なんだ…お前は、その…子供とか好きか？
[58] また新人どもを訓練してやらねぇと…危なっかしくて見てられねぇ。
[59] お前の指揮で戦うのは悪くねぇ。
[60] これじゃ体が鈍っちまうぜ。
[61] 待機命令ってのは退屈でしょうがねぇ。
[62] ああ？なんか用か？
[63] んだよ！うざってぇな…
