[1] 太棒啦，变强了！
[2] 感觉……还不错吧？
[3] 啊恶！？那里……是敏感带啦。
[4] 通量爆发·节拍转换！
[5] 看来轮到我出场了呢。
[6] 收到！我来助你一臂之力！
[7] 姐姐！刚才有好好看着我的表现吗？
[8] 根本、完全谈不上是对手呢。
[9] 欸！
[10] 呀！
[11] -（由于是常驻被动技能，故无台词）
[12] 我要把你撕成碎片。『最深之伤（Deepest Scar）』！
[13] 这种程度……
[14] 呜啊！？
[15] 这里……很舒服对吧？
[16] 嗯哈！哈……刚才那下，挺不错的哦？
[17] 嗯咿！那、那里……哈呼呜呜嗯！？
[18] 嘿，Come on！
[19] OK，包在我身上！
[20] 你们有权保持沉默……的吧？算啦无所谓！
[21] 休想逃！
[22] 吃我一招吧！
[23] 充能完毕！Ready？！『闪电……破坏（Lightning Break）！』
[24] 该死（Goddamn）……！
[25] 为了守护蔚蓝的地球，心中的鼓动直冲云霄！超昂闪耀（Escalayer），前往邪恶现场，此刻参上！！
[26] 辛苦了，长官。我相信您一定能带领我们走向胜利。
[27] 啊！现在碰那种地方不可以啦！
[28] 啊，真是的……请在充能的时候再做这种事……好吗？
[29] 嗯啊……长官的手……既温柔又有力……我很喜欢哦。
[30] 这套战斗服，是爸爸参考了我的意见设计的呢。
[31] 长官～真是的～您跑到哪里去了嘛～
[32] 嗯啊……不能再进行D充能了……请在没有别人的时候再做吧。
[33] 要出动了吗？长官！啊……是聊天吗？好的，我很乐意！
[34] 啊……长官，要来个泡芙吗？不小心买太多了……
[35] 问我会不会不安？……是的！我相信着长官！
[36] 呼啊啊……不知不觉有点犯困了。
[37] 泡芙的话，卡士达奶油味和鲜奶油味的我都喜欢呢。
[38] 啊嗯！啊、啊！？啊啊啊嗯！！？
[39] 非常感谢！
[40] 嗯嗯！？稍微、有点用力了……嗯嗯！！
[41] 嗯嗯……啊……请不要靠过来！啊……！不要啊啊啊啊啊！！
[42] 请交给我吧！
[43] 我会全力以赴战斗的！
[44] 哈啊！
[45] 欸咿！
[46] 这招怎么样？
[47] 将你切成碎片！节拍终结·超昂！
[48] 呜啊！
[49] 啊呜！？
[50] 欸！？真的可以给我吗？
[51] 这么棒的东西！……非常感谢！！
[52] 为了守护蔚蓝的地球，心中的鼓动直冲云霄。超昂逆转（Escariverse），前往邪恶现场，此刻参上。
[53] 随时都做好战斗准备了。
[54] 哦？要出击了吗？
[55] 真没想到居然还要为了正义而战……真是讽刺啊。
[56] 别碰我！想被脉冲贯穿吗！
