[694] くあぁ……深夜アニメリアタイしてて、寝不足……。
[695] この装備だと、スマホいじれない。禁断症状出ちゃう……。
[696] 頭領様は、どんな漫画が好き？
[697] 任務は無いに越したことはないよ。アニメ見逃さなくて済むし。
[698] 今期のアニメは豊作だね。私、幸せ。
[699] 暇ってのはいい事だね。うふふ。……あ、星5演出。
[700] 頭領様は何か……好きなアニメ、ある？
[701] 今音ゲーやってるから、待って。
[702] スマホ手放したら軽く死ねると思う。
[703] ん……どうしたの？
[704] 頭領様……頭領様？寝ちゃった？
[705] のんびり日向ぼっこ……良し。
[706] ん……頭領様、暖かい。んっ……！
[707] ん、――まだ。もっと、ぎゅってしてて。
[708] 息苦しいの、気持ち良くて……飛んじゃう…んん！？
[709] ガチャ石溶かしてリベンジ…
[710] 装身、天衣むほー…
[711] ざしゅー。
[712] やー。
[713] まてー。
[714] -(撤退時発動なので無し)
[715] 土の中は私の独壇場…
[716] 土遁、土公神裁判の術…
[717] 土に還る…。
[718] ディープアセンション！ニコール・ウィッチ！
[719] 少女以外は全員死ね"ぇ"ぇ"ｪｯ！！
[720] 大丈夫！？痛くない？！よしよししてあげる！
[721] ﾊｯ!?怪我してるじゃない！お姉ちゃんがなめなめしてあげる！！
[722] まぁ当然の結果よね
[723] とぉぅ！
[724] でりゃぁっ！
[725] どうやら私を本気にさせたみたいね、ユニコーンチャリオッツ！
[726] えっ、あの娘から？！本当に！？
[727] 静かなる林の如し…想破七閃、林のアヤカ、今日から一緒に戦うよぉ～。炊事、洗濯、諜報、戦闘、なんでもアカヤに任せて！
[728] 逢いたいよ…お母さん…こうやって戦い続けていれば…いつか逢えるかなぁ…
[729] あんまり頑張りすぎないようにね。たまにはちゃんと休むんだよぉ～
[730] アヤカの忍術見てみたい？木遁は攻防一体の戦いができるんだよ。
[731] うん！！今日も絶好調！朝ごはん、たっぷり食べたおかげかなぁ？
[732] 忙しくてもご飯はちゃんと食べてね。健康を保つためにはバランスの良い食事を摂るのが一番だからね。
[733] たくさん働いたら、たくさん休むこと。充分な休息を取らないと、出したい時に全力を出せなくなるからね。
[734] 辛かったら我慢しなくていいんだよ…我慢し過ぎたらいつか…パンクしちゃうから…
[735] 悩み事があったら何でもアヤカに話してね。悩み事って話すだけでもラクになるものだから。
[736] こぉぉらぁ！変なところ触らないの！そんな悪い若統領は、め！だよ！
[737] ナニナニ？若統領ぉ？アヤカとお話する？
[738] 鍛錬をする時はあんまり無理しちゃだめだよ。適切な場所に適切な負荷を適切な形でかけるように！
[739] 部屋のお掃除はちゃんとしてる？部屋が綺麗だと何をする時もリラックスできるんだよ？
[740] きゃん！んっ、ああ！？
[741] う、く、んああ！身体が……疼く……！
[742] んっ、っ……身体が、熱いよぉ……！
[743] まだまだ！
[744] アヤカに任せて！
[745] 木遁の神髄、見せてあげる！
[746] 林のアヤカ、行っくよー！
[747] 帰ったらみんなでカレー食べようね。
[748] やったね！みんな！
[749] たぁ！
[750] 木遁奥義！破城大樹！！
[751] きゃあああぁぁぁぁぁぁ
[752] わあ！強くなりましたぁ！
[753] 姫はじめ…？んっ、いや、そんな、っ、あぁあ……！
[754] あぁ！駄目！駄目ですよぉ！んっんぅ…ぁあ……！
[755] もう、だめ……全然、動けない、よぉ……。
[756] ここからはお正月タイム！
[757] ていやー！来ましたぞぉー！
[758] 勝ったから墨すみぃ～！
[759] 退屈な三箇日、滅ぶべし！
[760] 墨になれ！
[761] でりゃぁ！
[762] うはははは！手加減無用！墨の塊になれぇ！
[763] にゅう！？
[764] 痛いですぅ！？
[765] あうう…動けなく、なっちゃった。
