[694] 咕……昨晚追深夜动画实时直播，睡眠不足……。
[695] 穿这身装备就没法玩手机了。禁断症状要发作了……。
[696] 头领大人喜欢什么类型的漫画？
[697] 没有任务是再好不过了。这样就不会错过新番动画了。
[698] 这季的新番真是大丰收呢。我好幸福。
[699] 闲着真是一件好事呢。呜呼呼。……啊，出5星特效了。
[700] 头领大人有什么……喜欢的动画吗？
[701] 我现在正在打音游，等我一下。
[702] 要是放开手机，感觉我当场就会暴毙。
[703] 嗯……怎么了？
[704] 头领大人……头领大人？睡着了吗？
[705] 悠闲地晒太阳……真不错。
[706] 嗯……头领大人好暖和。嗯……！
[707] 嗯，——还不够。再抱紧我一点。
[708] 窒息的感觉好舒服……快要飞上天了……嗯嗯！？
[709] 碎石抽卡报仇……
[710] 装身，天衣无缝……
[711] 刷——！
[712] 呀——！
[713] 站住——！
[714] -（撤退时触发，故无语音）
[715] 土里可是我的绝对主场……
[716] 土遁，土公神裁判之术……
[717] 归于尘土吧……
[718] 深度升华！妮可·威奇！
[719] 少女以外的全都给我死吧“啊”啊“啊”！！
[720] 没事吧！？痛不痛？！痛痛飞走，姐姐抱抱你！
[721] 哈！？这不是受了伤吗！姐姐来帮你舔舔！！
[722] 嘛，这也是理所当然的结果呢。
[723] 哒！
[724] 德利呀！
[725] 看来你是彻底把我激怒了呢，独角兽战车！
[726] 诶，是那个女孩子送的？！真的吗！？
[727] 疾如平静之林……想破七闪，林之彩华，从今天起就要一起战斗了哟～。做饭、洗衣、情报、战斗，什么都可以交给彩华！
[728] 好想见你……妈妈……如果像这样继续战斗下去……总有一天能见到的吧……
[729] 可不能太勉强自己哦。偶尔也要好好休息呢～
[730] 想看看彩华的忍术吗？木遁可是能做到攻防一体的战斗哦。
[731] 嗯！！今天也是状态绝佳！大概是因为早饭吃得很饱吧？
[732] 就算再忙也要好好吃饭哦。为了保持健康，摄取均衡的饮食才是最重要的呢。
[733] 工作干得多，就要好好休息。如果不充足休息，想发挥实力的时候可就用不上力了哦。
[734] 难过的话不用强撑着也没关系……如果太忍耐的话，总有一天……会彻底崩溃的……
[735] 要是有烦恼的话，什么都可以跟我彩华说哦。烦恼这种东西，光是说出来就会轻松很多呢。
[736] 喂——！不许摸奇怪的地方！这么坏的少头领，可要打屁股哦！
[737] 什么什么？少头领？要和彩华聊天吗？
[738] 锻炼的时候可不能太逞强哦。要在合适的位置，以合适的方式加上合适的负荷才行！
[739] 房间有好好打扫吗？房间干净的话，做什么事情都能放松下来哦？
[740] 呀啊！嗯，啊啊！？
[741] 呜、咕、嗯啊啊！身体……好疼……！
[742] 嗯、……身体好烫啊……！
[743] 还没完呢！
[744] 就交给彩华吧！
[745] 就让你见识一下木遁的精髓！
[746] 林之彩华，要上咯—！
[747] 回去之后大家一起吃咖喱吧。
[748] 太好了！大家！
[749] 哒！
[750] 木遁奥义！破城大树！！
[751] 呀啊啊啊啊啊啊啊
[752] 哇！变强了呢！
[753] 初体验……？嗯，不、怎么会、っ、啊啊……！
[754] 啊！不行！不行呀！嗯嗯……啊啊……！
[755] 已经、不行了……完全、动弹不得、了……。
[756] 接下来是新年时间！
[757] 嗨呀—！我来也—！
[758] 既然赢了，那就涂墨水～！
[759] 无聊的三天假期，毁灭吧！
[760] 变成墨汁吧！
[761] 德利呀！
[762] 呜哈哈哈哈！手下无情！变成一坨墨汁吧！
[763] 扭！？
[764] 好痛啊！？
[765] 阿呜呜……动弹不成了。
[766] 来抽签吧！哎呀哎呀♪
[767] 哈！？这就是传说中的压岁钱！？
[768] 锵锵—！我是死神斯托娜，总之先交换个联系方式吧。
[769] 呜……被发现了，明明如果能完全隐形的话就会很方便的说。
[770] 找我有事？好啊，要不就这样去咖啡厅吧，啊，我都忘了我还保持着变身呢。
[771] 戴比特的基地里有很多很适合发社交圈的地方呢—，呐，只拍一点点的话没关系吧，拜托啦！
[772] 怎么啦怎么啦？要去哪里吗？蕨饼冰咖啡感觉接下来会火起来吧？
[773] 喔，要一起去哪吗？诶，工作？那种东西和我又没关系～
[774] 啊哈，一起合影吧，我找到了绝佳的拍照打卡点～虽然过去要花4个小时左右，但没关系吧？
[775] 嗯？难道说，想做吗？虽然我不记得今天是安全期还是危险期，但俗话说想做的时候就是该做的时候嘛～
[776] 那叫食品模型对吧？那个是日本独特的文化，真有趣呢～感觉很适合拍照打卡，那个百元店有卖吗？
[777] 虽然想汇报戴比特的事，但不知道该查些什么好，汇报队员的胸围尺寸之类的可以吗？
[778] 好—的，找我吗？昨天的电视看了吗？真有趣呢—，虽然斯托娜根本没看，阿哈哈！
[779] 怎么啦怎么啦？有有趣的视频？总之先按个赞，随便什么都无所谓啦。
[780] 现在我有点抽不开手，发信息给我吧，我等会儿再看。
[781] 好啊，聊聊吧，啊，我玩手机你别介意哦。
[782] 嗯？怎么了吗？我没有在使用能力，所以可以摸到哦？还是说，你刚才就想摸我了？阿哈！
[783] 怎么啦？找我有事？啊，我知道了～你想做对吧？嘿嘿，虽然也不是不行啦～
[784] 呀，要摸的话好歹提前说一声嘛～我还没做好心理准备和自拍的准备呢。
[785] 咦，怎么谁都不在？把我小斯托娜一个人晾在这我可不原谅你！总之先发个信息试试吧。
[786] 哇，手机容量好像要炸了！这要是装满了会怎么样？不会爆炸什么的吧！？
[787] 呜呜，身体动不了了……等等，这不会是真的……有点不太妙了吧？
[788] 轮到小斯托娜出场啦！
[789] 哇—伊！我也要加入～
[790] 啊哈，看来是我们赢了呢～
[791] 太好了— 拍张照片纪念一下吧？
[792] 我要华丽地出手了哦— 死亡风暴！
[793] 呀
[794] 好痛—！
[795] 都说了很痛啦——！！
[796] 呜呜，小斯托娜好受伤……
[797] 混蛋……别靠近……诶，噫噫噫……
[798] 算、算了，我就收下了。
[799] 姑且，向你道个谢吧。
[800] 嗯呀啊啊，哈、啊……！
[801] 啊、你的……好烫……哈啊！
[802] 这种东西，要把我融化了……呼啊啊！！
[803] 达鲁先生，工作来了。
[804] 你们的败北，可真是惨烈呢。
[805] 对不起。但是，我也不想死啊。
[806] 肃静！（安静一点！）
[807] 全部给我沉睡吧——御神渡·水镜！
[808] 连我也……要冻结了吗。
[809] 想破上弦众，火之豪火，在此参上！看来是一趟棘手的忍务呢……但我确实接下了！
[810] 既然有想破上弦众在，你就尽管放一百个心吧。
[811] 找我有事？唔……不用那么拘谨嘛……来，放松点，把肩膀放沉。
[812] 是忍务的事吗？嗯？不是？唔……当然，聊聊忍务之外的话题也无妨哦。
[813] 怎么了？想要我陪陪你吗？真拿你没辙呢～来，乖孩子乖孩子……嗯？怎么感觉……你一脸不满的样子呢……唔呼呼呼呼。
[814] 穿上这身打扮，无论如何都会干劲十足呢～。诶？说话粗鲁？那、那是……因为立场和各种原因啦！！
[815] 走廊上擦肩而过的新人躲开我了～……我有那么威严可怕吗……呜呜～好打击人～……就没有人来慰问我一下吗～
[816] 辛苦啦……嗯呼呼呼呼，很努力呢！就由老师来给你画个大红花吧！做得非常好～
[817] 有问题请举手……啊，现在又不是在授课……啊哈，这可不行，不行……那么，找我是要聊什么呢？
[818] 怎么了吗？嗯，交给姐姐我吧！
[819] 你叫我了吗？要是有不懂的地方，什么都可以问老师哦……
[820] 喂……今晚有空吗？我弄到了好酒呢……不知为何突然很想和你两个人单独喝一杯呢……
[821] 你对古典文学感兴趣吗？感兴趣的话我可以手把手教你哦。唔呼呼呼，培养人的感觉真好呢！
