# 完整配对（回流权威源）
# 格式：日文<TAB>中文

必殺	必杀
キャラ	角色
攻撃	攻击
速度	速度
ダメージ	伤害
敵	敌方
自身	自身
装備	装备
アップ	提升
全体	全体
出撃	出战
変身	变身
発動	发动
魔法	魔法
固有	固有
スタン	眩晕
覚醒	觉醒
物理	物理
回復	回复
自軍	我方
イベント	活动
防御	防御
閃忍	闪忍
場合	场合
バフ	增益效果
行動	行动
増加	增加
可能	可以
フィールド	领域
対象	目标
活躍	发挥作用
ゲージ	能量槽
ダウン	降低
必要	所需
充填	充能
魔女	魔女
回避	闪避
抵抗	抗性
強化	强化
時間	持续时间
相手	对手
状態	状态
基本	基础
キャラクター	角色
適性	适性
時点	状态
最大	最大
限定	限定
使用	使用
交換	兑换
撤退	撤退
命中	命中
単体	单体
ステータス	属性
アタッカー	输出角色
編成	编队
実装	实装
メイン	主线
名称	名称
衣装	衣装
場所	位置
継続	持续
優先	优先
デバフ	减益效果
戦士	战士
絶頂	绝顶
会話	对话
入手	获取
ボス	BOSS
トキサダ	时贞
育成	养成
挿入	插入
クエスト	任务
ダメ	不行
期間	期限
コメント	评论
火力	火力
紹介	介绍
報酬	报酬
突破	突破
反撃	反击
想	想法
無効	无效
画像	图片
減少	减少
アイテム	道具
自分	自己
ストーリー	剧情
勢力	势力
存在	存在
情報	情报
ネタ	趣闻
性能	性能
限界	极限
真夏	盛夏
トキ	时
撃率	暴击率
敗北	战败
サダ	贞
所属	所属
公式	官方
発生	发生
獲得	获得
確率	概率
世界	世界
普通	普通
評価	评价
フォーム	表单
味方	友方
能力	能力
属性	属性
殲滅	歼灭
遠距離	远距离
他	其他
ヘイト	仇恨值
ポイント	点数
関係	关联
確定	必定
十分	足够
処女	处女
ナリカ	成香
テキスト	文本
相性	相性
経験	经验
登場	登场
スコア	得分
近距離	近距离
胸	胸部
魅了	魅惑
例	例子
久世	久世
フレーバー	角色背景
強力	强力
正月	正月
関連	相关
逸品	珍品
最高	最高
ログ	日志
ツイッター	推特
聖夜	圣夜
バージョン	版本
ハルカ	遥
解除	解除
放置	放置
クリック	点击
ユニバース	宇宙
配布	赠送
開催	举办
次第	次第
問題	问题
画面	画面
絵馬	绘马
ダイビート	大彼特
人数	人数
最終	最终
過去	过往
非常	非常
運用	运用
程度	程度
方法	方法
コラボ	联动
大量	大量
システム	系统
姿	姿态
参加	参与
ベルト	腰带
攻防	攻防
詳細	详细
消費	消耗
服装	服装
呪縛	咒缚
停止	停止
納豆	纳豆
上限	上限
感じ	感觉
回数	次数
コマンダー	指挥官
得意	擅长
レベルアップ	等级提升
無視	无视
レイドバトル	讨伐战
軽減	减轻
フェス	庆典卡池
上昇	上升
威力	威力
即死	即死
サブ	副位
復刻	复刻
目標	目标
初心者	新手
優秀	优秀
上弦	上弦
期待	期待
好き	喜欢
横	横向
少女	少女
雑魚	杂兵
天界	天界
工夫	巧思
有効	有效
メンバー	队员
注意	注意
抜群	出众
ルール	规则
ロケット	火箭
ヒーラー	治疗角色
付与	赋予
不可	不可
前列	前排
ドリル	钻头
麺	面条
耐性	抗性
倍率	倍率
サンプル	范例
異常	异常状态
備考	备注
ボイス	语音
衆	众人
地上	地面
コスト	费用
異	不同
状況	状况
今	现在
意味	含义
資金	资金
勝利	胜利
マン	男性
チャージ	充能
参照	参考
出現	出现
部屋	房间
維持	维持
エル	艾尔
最初	最初
初期	初始
プレイヤー	玩家
恒常	常驻
戦力	战力
以降	之后
その後	此后
レガリア	雷加利亚
タンク	坦克
手動	手动
便利	方便
下位	下位
大戦	大战
全て	全部
場	场地
条件	条件
エクシール	艾克希尔
ルビー	红宝石
イノリ	祈
人間	人类
エンド	结局
特効	特攻
タイミング	时机
タイプ	类型
エロ	色情
凸	突破
全裸	全裸
寝室	卧室
喪失	丧失
触手	触手
対応	对应
ジッポ	吉波
トー	托
セット	套装
私服	便服
拘束	拘束
一部	部分
代わり	代替
プレイ	游玩
ガッツ	顽强
末尾	末尾
攻略	攻略
対	对抗
日時	日期时间
番号	编号
チケット	券票
パンツ	内裤
本人	本人
巫女	巫女
要素	要素
回転	旋转
仕様	规格
下記	如下
現在	当前
複数	复数
制限	限制
同様	同样
ランプ	灯
水着	泳装
アイドル	偶像
重要	重要
固定	固定
射精	射精
不足	不足
バレンタイン	情人节
配置	配置
装置	装置
現	当前
個別	单独
ビート	彼特
機能	功能
ノノノ	诺诺诺
タイガー	泰格
扱い	定位
ニル	尼尔
最後	最后
声	声音
レイドボス	讨伐BOSS
ステージ	关卡
先	前方
用意	准备
重複	重复
スタンダードガチャ	常驻招募卡池
待機	待机
出し	派出
完全	完全
加入	加入
時短	缩短耗时
シーン	场景
救出	救出
部分	局部
立ち	站立
変化	变化
娘	女儿
難易	难度
シナリオ	剧本
内容	内容
記念	纪念
安定	稳定
チルカ	琪露卡
取得	获取
原作	原作
助っ人	助战
話	剧情
影響	影响
ブライド	新娘
調整	调整
発揮	发挥
姉妹	姐妹
スバル	昴
鉱石	矿石
ドロップ	掉落
全員	全体
種類	种类
ライカ	莱卡
コンボ	连击
顔	脸部
アルゴル	阿尔戈尔
デメリット	劣势
スト	剧情
半裸	半裸
キス	亲吻
序盤	前期
リコリス	彼岸花
効率	效率
