[0] 任务一览
[1] 每日任务
[2] 常规任务
[3] 活动任务
[4] 限时宣传任务
[5] 讨伐战任务
[6] 全域作战任务
[7] 新手入门任务
[8] 评论留言区
[9] 每日任务
[10] 任务名称
[11] 奖励
[12] 备注
[13] 布置面板或将面板基底化
[14] 时间缩短券×1
[15] 进行道具抽卡
[16] 资金100
[17] 在主线关卡、活动关卡或全域作战中进行战斗
[18] 宝箱×1
[19] B宇宙无法完成该任务
[20] 游玩每日副本
[21] 四轮公兽×1
[22] 完成全部每日任务
[23] 蝶矿石×1
[24] 常规任务
[25] 任务名称
[26] 奖励
[27] 备注
[28] 累计登录XX（20的倍数）天
[29] 蝶矿石×1
[30] 累计获取XX（8000的倍数）点体力强化点数
[31] 资金×1000
[32] 2022/03/16新增
[33] 累计获取XX（1000的倍数）点攻击力强化点数
[34] 资金×1000
[35] 累计获取XX（1000的倍数）点防御力强化点数
[36] 资金×1000
[37] 累计获取XX（1000的倍数）点魔力强化点数
[38] 资金×1000
[39] 累计获取XX（1000的倍数）点魔法抗性强化点数
[40] 资金×1000
[41] 将玩家等级提升至XX（5的倍数）级
[42] 【100级及以下】爱欲之核×1 【105级及以上】资金×10000
[43] 全体角色等级总和达到XX（40的倍数）
[44] 蝶矿石×1
[45] 拥有XX（10的倍数）名角色
[46] 激昂花蕾×5
[47] 全体角色好感度总和达到XX（60的倍数）
[48] 蝶矿石×1
[49] 对角色进行XX（2的倍数）次突破上限
[50] 蝶矿石×5
[51] 对必杀技进行XX（1的倍数）次觉醒强化
[52] 巫女绘马×1
[53] 2022/03/16新增
[54] 对固有效果进行XX（1的倍数）次觉醒强化
[55] 巫女绘马×1
[56] 获取XX（1的倍数）款角色皮肤
[57] 【奇数档位】觉醒之木·必杀×1 【偶数档位】觉醒之木·固有效果×1
[58] 2022/03/16新增 免费皮肤也可完成任务 可在兑换所内的皮肤兑换所获取
[59] 道具变卖累计金额达到XX（5000的倍数）
[60] 蝶矿石×1
[61] 累计获取XX（200的倍数）通用代币
[62] 2022/03/16新增
[63] 累计获取XX（10的倍数）黑色代币
[64] 小型觉醒之木×1
[65] 借助破坏彗星系列效果变换XX（20的倍数）个面板
[66] 爱欲之核×1
[67] 2022/03/16 修改为所有破坏彗星系列效果均计入统计
[68] 通关主线关卡普通难度第XX区域
[69] 爱欲之核×1
[70] 通关主线关卡困难难度第XX区域
[71] 巫女绘马×1
[72] 通关主线关卡极限难度第XX区域
[73] 蝶矿石×1
[74] 消除XX（20的倍数）条连线
[75] 蝶矿石×1
[76] 阅读主线剧情《XX》
[77] 蝶矿石×1
[78] 解锁XX（20的倍数）段角色个人剧情
[79] 蝶矿石×1
[80] 全新解锁观看XX段纯爱私密剧情（通过提升好感度解锁）
[81] 蝶矿石×1
[82] 击退XX（10的倍数）次情欲指挥官/培育怪人
[83] 爱欲之核×1
[84] 2022/03/16 将培育怪人纳入任务目标
[85] 进行XX（20的倍数）次讨伐战
[86] 小型觉醒之木×1
[87] 2022/03/16新增
[88] 进行XX（40的倍数）次歼灭战
[89] 小型觉醒之木×1
[90] 2025/06/04新增
[91] 使用激昂花蕾抽取并获得1名角色
[92] 蝶矿石×5
[93] 仅需获取1名即可完成
[94] 活动任务
[95] 任务详情请查看各活动专属页面
[96] 限时宣传任务
[97] 主要在主线剧情、主线关卡更新追加时开启，为期一周
[98] 第三部终章实装时（2026/05/13）
[99] 任务名称
[100] 目标数量
[101] 奖励
[102] 备注
[103] 在主线关卡击败敌人
[104] 200只
[105] 美铜石×300
[106] 400只
[107] 坚韧掉落物×1
[108] 600只
[109] 重置挂饰×1
[110] 800只
[111] 美铜石×300
[112] 1000只
[113] 1200只
[114] 时间缩短券×5
[115] 1400只
[116] 美铜石×400
[117] 1600只
[118] 重置挂饰×1
[119] 1800只
[120] 坚韧掉落物×1
[121] 2000只
[122] 通关主线关卡困难难度
[123] 1次
[124] 资金×5000
[125] 3次
[126] 时间缩短券×3
[127] 5次
[128] 单抽抽卡券×1
[129] 10次
[130] 挑战主线关卡极限难度
[131] 1次
[132] 活力原液×1
[133] 无需通关，仅挑战即可完成
[134] 在宝箱界面达成一次三段及以上同步消除
[135] 1次
[136] 资金×10000
[137] 3次
[138] 重置挂饰×1
[139] 5次
[140] 在宝箱界面达成四段同步消除
[141] 1次
[142] 巫女绘马×3
[143] 完成全部每日任务
[144] 5次
[145] 中型觉醒之木×1
[146] 需要累计五天完成每日任务
[147] 第二部终章实装时（2024/05/15）
[148] 第二部终章实装时（2024/05/15）
[149] 任务名称
[150] 目标数量
[151] 奖励
[152] 备注
[153] 在主线关卡击败敌人
[154] 200只
[155] 资金×3000
[156] 400只
[157] 时间缩短券×3
[158] 600只
[159] 重置挂饰×1
[160] 800只
[161] 坚韧掉落物×1
[162] 1000只
[163] 1200只
[164] 资金×5000
[165] 1400只
[166] 时间缩短券×3
[167] 1600只
[168] 重置挂饰×1
[169] 1800只
[170] 坚韧掉落物×1
[171] 2000只
[172] 通关主线关卡困难难度
[173] 1次
[174] 资金×5000
[175] 3次
[176] 时间缩短券×3
[177] 5次
[178] 单抽抽卡券×1
[179] 10次
[180] 挑战主线关卡极限难度
[181] 1次
[182] 活力原液×1
[183] 无需通关，仅挑战即可完成
[184] 在宝箱界面达成一次三段及以上同步消除
[185] 1次
[186] 资金×10000
[187] 3次
[188] 重置挂饰×1
[189] 5次
[190] 在宝箱界面达成四段同步消除
[191] 1次
[192] 巫女绘马×3
[193] 累计5次完成全部每日任务
[194] 未知素材×5
[195] 讨伐战任务
[196] 任务名称
[197] 完成条件
[198] 奖励
[199] 备注
[200] 登录游戏（每日1次）
[201] 讨伐萤火×1个
[202] 首日登录可领取3个
[203] 进行D2P抽卡
[204] 1次
[205] 专属头像
[206] 消耗500体力（可重复完成）
[207] 无完成上限
[208] 讨伐萤火×1个
[209] 在宝箱界面累计8次达成三段及以上消除
[210] 完成一轮
[211] 讨伐萤火×1个
[212] 挑战讨伐战
[213] 10次
[214] 讨伐萤火×1个
[215] 20次
[216] 讨伐萤火×1个
[217] 在讨伐战中累计获取活动积分达到指定数值
[218] 20万
[219] D2P代币×20个
[220] 30万
[221] 专属头像
[222] 50万
[223] D2P代币×20个
[224] 70万
[225] 专属头像
[226] 90万
[227] D2P代币×20个
[228] 120万
[229] 专属头像
[230] 140万
[231] D2P代币×20个
[232] 170万
[233] 专属头像
[234] 200万
[235] D2P代币×20个
[236] 通过完成任务获取2个讨伐萤火（每日1次）
[237] 1次
[238] D2P代币×20个
[239] 在主线关卡进行战斗（每日1次）
[240] 1次
[241] 未知素材×1个
[242] 3次
[243] 小型觉醒之木×1个
[244] 5次
[245] 蝶矿石×1个
[246] 全域作战任务
[247] 所有全域作战任务在包含教程在内的任意地图均可完成。※例如“布置/改良装置”类任务无地图限制，可在已通关地图内操作，瞬间完成任务。※“累计回合数”为全地图累计统计，例：锁城地图5回合+蜜糖群岛5回合阶段结算，合计计入10回合。
[248] 第10回及以后全域作战
[249] 全域作战累计经过指定回合 3回合：资金×1000 6回合：D2P代币×5 10回合：坚韧掉落物×1 20回合：强化点数礼包×10
[250] 击退敌军入侵 1次：资金×1000 2次：D2P代币×5 3次：坚韧掉落物×1 4次：强化点数礼包×10
[251] 以大规模出战人数进行战斗 1次：巫女绘马×1 2次：资金×10000 3次：重置挂饰×1 4次：巫女绘马×1
[252] 全域作战取得胜利 3次：资金×1000 6次：D2P代币×5 9次：坚韧掉落物×1 12次：强化点数礼包×10 15次：重置挂饰×1
[253] 制作装置 1个：强化点数礼包×10 2个：坚韧掉落物×1 4个：小型觉醒之木×1 6个：未知素材×1
[254] 改良装置（不含研发新装置）1次：资金×1000 2次：D2P代币×5 3次：坚韧掉落物×1 4次：强化点数礼包×10 5次：重置挂饰×1
[255] 使用黄色代币兑换一次道具 时间缩短券×10
[256] 第6回～第9回全域作战
[257] 全域作战累计经过指定回合 3回合：资金×1000 6回合：D2P代币×5 10回合：坚韧掉落物×1 20回合：强化点数礼包×10
[258] 击退敌军入侵 1次：资金×1000 2次：D2P代币×5 3次：坚韧掉落物×1 4次：强化点数礼包×10
[259] 以大规模出战人数进行战斗 1次：巫女绘马×1 2次：资金×10000 3次：重置挂饰×1 4次：巫女绘马×1
[260] 全域作战取得胜利 3次：资金×1000 6次：D2P代币×5 9次：坚韧掉落物×1 12次：强化点数礼包×10 15次：重置挂饰×1
[261] 制作装置 1个：强化点数礼包×10 3个：坚韧掉落物×1 5个：小型觉醒之木×1
[262] 破坏1次怪电波装置 未知素材×1
[263] 改良装置 1次：资金×1000 2次：D2P代币×5 3次：坚韧掉落物×1 4次：强化点数礼包×10 5次：重置挂饰×1
[264] 使用黄色代币兑换一次道具 时间缩短券×10
[265] 第4回～第5回全域作战
[266] 全域作战累计经过指定回合 3回合：资金×1000 6回合：D2P代币×5 10回合：坚韧掉落物×1 20回合：强化点数礼包×10
